Name,Lat,Lon,zip_code,,,,
Wells Fargo Bank,37.7579097,-77.471018,23005,,,,
SunTrust,37.6782162,-77.586356,23059,,,,
Wells Fargo Bank,37.6674046,-77.460081,23059,,,,
ATM (East Coast),37.6431651,-77.564741,23060,,,,
ATM Partners Financia,37.6517287,-77.46041,23060,,,,
"ATM USA, LLC",37.6431651,-77.564741,23060,,,,
BB&T ATM,37.6447261,-77.568981,23060,,,,
Capital One Bank,37.6650003,-77.566974,23060,,,,
Cardtronics ATM,37.6421526,-77.560612,23060,,,,
Cardtronics ATM,37.6519951,-77.610965,23060,,,,
Cardtronics ATM,37.6520519,-77.605303,23060,,,,
Carrollton Bank,37.652332,-77.608572,23060,,,,
Partners Financial Federal Credit Union,37.6517268,-77.460464,23060,,,,
"Payment Alliance International, Inc.",37.6417768,-77.57092,23060,,,,
Wells Fargo Bank,37.6421566,-77.565371,23060,,,,
Woodforest National Bank,37.6522152,-77.608736,23060,,,,
Wells Fargo Bank,37.6877047,-77.885028,23063,,,,
Access to Money,37.5981979,-77.349281,23111,,,,
American Express,37.597465,-77.340712,23111,,,,
ATM (7-Eleven),37.6035207,-77.372356,23111,,,,
Cardtronics ATM,37.6035445,-77.355475,23111,,,,
SunTrust,37.6039175,-77.372875,23111,,,,
Village Bank (Mechanicsville),37.6026392,-77.373338,23111,,,,
Virginia Credit Union,37.6152623,-77.320919,23111,,,,
Wells Fargo Bank,37.6111246,-77.341745,23111,,,,
Access to Money/ABS (Cash-Management),37.449494,-77.650539,23112,,,,
ATM (Brander Mill Shell),37.4506179,-77.65152,23112,,,,
ATM (Lucky's Woodlake),37.4072712,-77.68261,23112,,,,
Bank of America ATM,37.4493747,-77.649781,23112,,,,
BP,37.4072699,-77.682599,23112,,,,
BP,37.4493289,-77.649706,23112,,,,
Call Federal Credit Union,37.4384896,-77.58855,23112,,,,
Cardtronics ATM,37.4497907,-77.646548,23112,,,,
Cardtronics ATM,37.4056222,-77.667165,23112,,,,
