,name,lat,lon,zipcode
0,ATM (Bank of America),37.612235,-77.33543999999999,23111
1,C&F Bank,37.6118791,-77.3375798,23111
2,Cardtronics ATM,37.6115637,-77.3386342,23111
3,"Payment Alliance International, Inc.",37.6115637,-77.3386342,23111
4,City National Bank - ATM,37.612423,-77.33439,23111
5,Atlantic Union Bank,37.6133009,-77.3295057,23111
6,PNC Bank ATM,37.6132621,-77.3282696,23111
7,State Farm Bank,37.566041,-77.4445017,23220
8,Citibank ATM,37.56455869999999,-77.44450499999999,23222
9,BP,37.57180710000001,-77.44467499999999,23222
10,Shell,37.56279499999999,-77.4430789,23222
11,"ATM USA, LLC",37.57156979999999,-77.44492939999999,23222
12,Cardtronics ATM,37.5717222,-77.44585909999999,23222
13,atmwg,37.565037,-77.444271,23220
14,ATM (Arshad Market),37.567305,-77.4440669,23222
15,Access to Money/ABS (Non-Cash Management,37.567305,-77.4440669,23222
16,ATM,37.5659378,-77.4443115,23222
17,ATM (Chamberlayne Shell),37.5628905,-77.4428342,23222
18,ATM Express,37.57156979999999,-77.44492939999999,23222
19,ATM,37.40720819999999,-77.5659919,23832
20,ATM,37.58974720000001,-77.5326915,23226
21,"TowneBank, Branch Location",37.59008860000001,-77.5328284,23229
22,3 Chopt Mart,37.5895228,-77.5315375,23226
23,Access to Money,37.5895647,-77.53146559999999,23226
24,Wells Fargo ATM,37.5902591,-77.53277829999999,23229
25,ATM Express,37.5895647,-77.53146559999999,23226
26,Call Federal Credit Union,37.4384896,-77.5885498,23112
27,"ATM USA, LLC",37.4432356,-77.5841054,23112
28,BB&T ATM,37.4386084,-77.5982812,23112
29,Financial Consulting & Trading International,37.4432356,-77.5841054,23112
30,ATM Call Fcu,37.4384739,-77.5885693,23112
31,PNC Bank ATM,37.4420807,-77.5828966,23112
32,Atlantic Union Bank,37.44245900000001,-77.579478,23832
33,Cardtronics ATM,37.62699519999999,-77.5046325,23228
34,ATM,37.574802,-77.604433,22482
35,ATM,37.3233738,-77.4357012,23831
36,ATM,37.5570727,-77.4860348,23221
37,Wells Fargo Bank,37.55359170000001,-77.482439,23221
38,ATM (Wells Fargo Bank),37.5535257,-77.4824873,23221
39,ATM,37.56044589999999,-77.4739266,23221
40,Citibank ATM,37.5631435,-77.47037209999999,23230
41,SunTrust ATM,37.5560356,-77.4747907,23220
42,Citibank ATM,37.55379850000001,-77.4832225,23221
43,M&T Bank,37.56606629999999,-77.47428049999999,23230
44,ATM (Bank of America),37.56061339999999,-77.4675067,23220
45,Access to Money,37.564126,-77.46897299999999,23230
46,Cardtronics ATM,37.5573017,-77.4877048,23221
47,Wells Fargo ATM,37.56852689999999,-77.4783084,United States
48,Cardtronics,37.5620129,-77.4700156,23220
49,ATM,37.564126,-77.46897299999999,23230
50,ATM (Uppy's),37.5621634,-77.4700024,23220
51,Wells Fargo Bank,37.5685346,-77.47834060000001,23230
52,Capital One ATM,37.5652218,-77.4692172,23230
53,Wells Fargo Bank,37.6076782,-77.5641321,23229
54,Atlantic Union Bank,37.610559,-77.563225,23229
55,"Nationwide Money Services, Inc.",37.606342,-77.569759,23229
56,SunTrust ATM,37.6021653,-77.5647214,23229
57,Wells Fargo ATM,37.60767459999999,-77.5641137,United States
58,Cardtronics,37.60430159999999,-77.55991600000002,23229
59,Citibank ATM,37.601358,-77.562474,23229
60,ecoATM,37.60174639999999,-77.5672115,23229
61,Cardtronics ATM,37.60527839999999,-77.5719944,23229
62,SunTrust,37.6021548,-77.5646728,23229
63,Cardtronics ATM,37.61141900000001,-77.56433299999999,23229
64,ATM,37.606342,-77.569759,23229
65,ATM Allens Exxon,37.6048826,-77.5692407,23229
66,ATM Express,37.60235519999999,-77.5631662,23229
67,ATM,37.6021877,-77.5626782,23229
68,Signet Bank-Virginia,37.60181350000001,-77.5640954,23219
69,Atm,37.6013344,-77.5678286,23229
70,ATM,37.6026219,-77.57130099999999,23229
71,Citibank ATM,37.45939430000001,-77.50155029999999,23234
72,Glen Allen Fast Food,37.69297530000001,-77.54942539999999,23059
73,ATM Express,37.691554,-77.5497165,23059
74,ATM (Glen Allen Fast Food),37.6930241,-77.5493803,23059
75,ATM (Glen Allen Fast Food),37.6930247,-77.5493135,23059
76,SunTrust,37.6782162,-77.58635579999999,23059
77,Atlantic Union Bank,37.6775283,-77.5858044,23059
78,ATM (Suntrust Bank),37.678255,-77.586263,23059
79,Minit Mart,37.4741127,-77.59711050000001,23236
