index,Zipcode,ATM_count,Population,White Population,Black Population,Hispanic Population,Asian Population,Median Age,Employment Rate,Unemployment Rate,Household Income,Per Capita Income,Avg Rent,Avg Rent & Utilities,Median Home Value,Avg Monthly Cost of Home,No HSch Ed,HSch/GED,Associate College,Bachelors,Masters,Professional,Doctorate,Poverty Count,Poverty Rate,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty
7025,23005,1,16337,12962,2555,786,201,37.8,52.40252188,29.5341862,67809,33766,834,985,249900,1667,111,2842,868,2366,911,171,268,1665,10.19158964,1287,268,304,55
7047,23059,2,34031,23175,3230,1277,6288,41,53.0516294,22.86738562,104878,50979,1295,1408,394400,2178,170,3067,1489,7550,4350,1304,843,1044,3.067791132,655,249,25,124
7048,23060,13,37381,23419,7305,1857,4823,37.8,58.48693186,20.68698002,83802,39302,1081,1219,258200,1593,269,4683,1569,7825,3579,749,337,1737,4.646745673,1038,486,83,144
7051,23063,1,4466,2735,1618,112,3,44,51.72413793,33.11688312,65844,31216,786,1094,189300,1313,32,1212,264,457,147,47,34,217,4.858934169,98,119,0,0
7077,23111,8,37417,32378,3276,903,555,42.5,55.6217762,24.57973648,76342,35027,989,1147,232100,1548,66,7786,2222,6136,1771,264,246,2134,5.703289948,1559,389,106,62
7078,23112,14,52485,39619,8325,2509,1855,37.7,55.6292274,21.60426789,89485,38198,1130,1312,237900,1572,214,6018,2895,11002,4822,586,824,1713,3.263789654,885,648,48,19
7079,23113,4,25195,21364,1758,965,1466,45.5,49.35106172,29.06925977,103683,57212,1161,1304,425000,2281,87,2001,885,6562,3026,973,535,1068,4.238936297,844,81,76,124
7080,23114,1,18503,14790,1826,451,1355,39.2,54.51007945,22.33151381,100047,42815,1341,1466,287500,1742,68,1885,879,3889,2048,405,200,763,4.123655623,342,91,11,305
7082,23116,1,29005,26448,1586,792,487,42.4,53.86312705,24.123427,102376,40766,1067,1234,301400,1873,115,3804,1438,6077,2621,599,395,1079,3.720048268,935,142,0,2
7085,23120,1,8948,7770,568,245,273,35.4,52.7492177,17.33348234,132347,48088,743,950,374800,2318,14,659,450,2151,898,206,57,143,1.598122485,122,21,0,0
7094,23139,5,24214,21801,1866,448,54,44.6,52.47790534,30.64342942,78730,35125,783,970,255800,1502,64,5147,1512,3515,1152,174,72,1406,5.806558189,1272,93,7,0
7118,23219,6,4138,1675,1892,188,363,29.4,53.26244563,41.85596907,30917,30822,898,953,324300,2530,97,419,174,763,320,205,42,1356,32.76945384,442,784,93,81
7120,23221,1,15354,13136,1428,347,340,33.9,67.38960531,20.5809561,69316,55356,959,1104,370100,2162,19,1184,286,4960,2386,919,464,1266,8.245408363,974,217,13,35
7121,23222,3,25308,3350,20838,377,216,38.7,48.37600759,32.25462304,35086,21097,713,936,125900,1212,330,5239,980,2159,876,44,154,6769,26.74648333,532,5977,77,69
7122,23223,11,51888,9009,40165,860,626,34.2,50.05781684,30.15340734,38431,24850,743,917,149800,1305,489,9963,2259,5603,2276,492,295,13754,26.5070922,1550,11451,482,80
7123,23224,2,39066,10125,25859,6069,372,33,51.65105207,24.98848103,34186,17522,704,877,111500,1089,692,8960,1683,2490,587,158,60,11713,29.98259356,2445,8291,1707,42
7124,23225,10,42366,19467,19101,3588,717,37.2,56.25973658,25.66916867,45240,28638,800,936,202200,1416,666,7862,2253,6567,3016,676,593,7294,17.21663598,1881,4810,760,87
7125,23226,1,15800,13804,1052,718,588,38.7,58.73417722,24.3164557,84780,61410,1080,1303,331000,1868,48,1264,479,4606,2237,936,274,1067,6.753164557,842,168,228,35
7126,23227,1,25829,11138,12666,693,491,42.5,53.50574935,29.31975686,49603,35237,716,838,227500,1619,168,4178,1423,4601,2459,425,332,3863,14.95605715,939,2783,60,0
7127,23228,1,36423,22118,8921,5502,1594,35.9,59.26200478,21.47818686,51312,26851,915,1073,168100,1243,223,6217,2224,5176,2119,282,119,5140,14.11196222,2898,922,1542,193
7128,23229,1,35479,28587,2859,2486,2454,38.7,51.68691339,26.02948223,79767,44353,881,1044,303800,1797,303,4203,1558,7332,3603,1483,505,3337,9.405563855,2252,494,1125,106
7129,23230,5,6270,4383,1118,387,259,41.2,62.88676236,26.47527911,51795,35054,879,1013,186400,1392,79,1256,273,1262,418,37,131,791,12.61562998,263,375,28,90
7130,23231,1,37523,13376,22386,1012,193,39.4,53.01814887,26.85286358,54222,27560,785,963,176400,1409,407,8217,1873,3921,1459,241,180,6505,17.3360339,1212,5023,108,0
7131,23233,20,30680,23539,1913,758,4489,38.3,58.95045632,19.60560626,103404,50678,1132,1258,338100,1900,107,2288,889,9119,3605,1026,610,1312,4.276401565,904,158,173,143
7132,23234,2,44319,16694,21889,9564,1045,34.4,54.1393082,23.84079063,46861,23345,811,971,158800,1219,573,9605,2101,2986,1358,302,147,8666,19.55369029,3985,3429,2742,128
7133,23235,5,31936,22467,6330,2368,922,43.2,55.6738477,27.34531563,73930,37789,1073,1247,220000,1495,240,4478,1734,5921,3314,672,522,1915,5.996367735,1387,240,487,0
7134,23236,1,26534,18588,5481,1805,1106,41.7,54.45089319,26.4340092,76572,35689,1061,1213,208200,1445,174,4749,1727,4384,2081,316,279,1860,7.009874124,1120,459,420,40
7136,23238,3,26133,20676,3180,1369,1186,44.4,54.88462863,27.44805418,74856,46132,982,1123,288000,1725,71,2968,1158,6049,2859,810,518,1943,7.435043814,1220,395,375,76
7138,23294,5,17848,10152,3058,1107,3603,32,57.40138951,21.57104437,55667,28965,1003,1136,197700,1433,237,2495,954,3091,1315,319,146,1834,10.27566114,1018,414,407,192
7266,23831,9,36682,24524,9231,2708,830,38.4,52.7424895,25.77285862,73966,31454,1025,1189,221300,1490,130,6250,2776,4673,2882,305,241,2226,6.068371408,1078,776,150,7
7267,23832,2,35523,24222,8631,3548,1089,37.2,55.45984292,23.17371844,84134,32835,1038,1321,211400,1535,218,6461,2161,5442,2053,271,397,2370,6.671733806,1651,313,657,157
7272,23838,3,16426,13877,1972,245,110,45.2,55.16254718,24.15073664,112024,44003,1083,1236,323500,1949,68,2438,984,2770,1220,337,190,886,5.393887739,789,74,0,2
7286,23860,2,30983,15814,12624,2224,425,37.8,43.29148243,38.03053287,43016,22984,660,841,137000,1070,340,8028,1726,2327,842,155,130,5361,17.30303715,2310,2625,388,43
